web-scraper-order,web-scraper-start-url,Autre_animaux_links,Autre_animaux_links-href,Nom,Price,Adresse,lien_image
"1739019190-1","https://sn.coinafrique.com/categorie/autres-animaux?page=6","Perruches","https://sn.coinafrique.com/annonce/autres-animaux/perruches-751123","Perroquet perruches ondulées","20 000 CFA","Point E, Dakar, Sénégal",""
"1739019193-2","https://sn.coinafrique.com/categorie/autres-animaux?page=6","Carpe Koï Japonaise ( Aquarium)","https://sn.coinafrique.com/annonce/autres-animaux/carpe-koi-japonaise-aquarium-827220","","","",""
"1739019196-3","https://sn.coinafrique.com/categorie/autres-animaux?page=6","Perruches","https://sn.coinafrique.com/annonce/autres-animaux/perruches-845280","","","Sénégal",""
"1739019199-4","https://sn.coinafrique.com/categorie/autres-animaux?page=6","Poisson d'aquarium","https://sn.coinafrique.com/annonce/autres-animaux/poisson-daquarium-863425","","","",""
"1739019201-5","https://sn.coinafrique.com/categorie/autres-animaux?page=6","Bœuf","https://sn.coinafrique.com/annonce/autres-animaux/buf-885779","","","",""
"1739019204-6","https://sn.coinafrique.com/categorie/autres-animaux?page=6","Chèvre Balami","https://sn.coinafrique.com/annonce/autres-animaux/chevre-balami-917895","","","Saint Louis, Sénégal",""
"1739019207-7","https://sn.coinafrique.com/categorie/autres-animaux?page=6","Verrat de race Large white","https://sn.coinafrique.com/annonce/autres-animaux/verrat-de-race-large-white-929881","","","Sénégal",""
"1739019210-8","https://sn.coinafrique.com/categorie/autres-animaux?page=6","Caille","https://sn.coinafrique.com/annonce/autres-animaux/caille-931708","","","Guediawaye, Dakar, Sénégal",""
"1739019213-9","https://sn.coinafrique.com/categorie/autres-animaux?page=6","Oies  bourbonaises","https://sn.coinafrique.com/annonce/autres-animaux/oies-bourbonaises-990474","","","Thies, Sénégal",""
"1739019216-10","https://sn.coinafrique.com/categorie/autres-animaux?page=6","Mouton ladoum pure sang","https://sn.coinafrique.com/annonce/autres-animaux/mouton-ladoum-pure-sang-1011139","","","Sénégal",""
"1739019219-11","https://sn.coinafrique.com/categorie/autres-animaux?page=6","Boeuf","https://sn.coinafrique.com/annonce/autres-animaux/boeuf-1129419","","","Dakar, Sénégal",""
"1739019222-12","https://sn.coinafrique.com/categorie/autres-animaux?page=6","Bœufs","https://sn.coinafrique.com/annonce/autres-animaux/bufs-1198114","","","",""
"1739019224-13","https://sn.coinafrique.com/categorie/autres-animaux?page=6","Paon bleu","https://sn.coinafrique.com/annonce/autres-animaux/paon-bleu-1310387","","","Parcelle Assainies, Dakar, Sénégal",""
"1739019227-14","https://sn.coinafrique.com/categorie/autres-animaux?page=6","Oies","https://sn.coinafrique.com/annonce/autres-animaux/oies-1311792","","","Fass, Dakar, Sénégal",""
"1739019230-15","https://sn.coinafrique.com/categorie/autres-animaux?page=6","Oies","https://sn.coinafrique.com/annonce/autres-animaux/oies-1322739","","","Fass, Dakar, Sénégal",""
"1739019233-16","https://sn.coinafrique.com/categorie/autres-animaux?page=6","Cailles","https://sn.coinafrique.com/annonce/autres-animaux/cailles-1376905","","","Dakar, Sénégal",""
"1739019239-17","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Perruches","https://sn.coinafrique.com/annonce/autres-animaux/perruches-1389654","","","Dakar, Sénégal",""
"1739019242-18","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Oiseaux exotiques","https://sn.coinafrique.com/annonce/autres-animaux/oiseaux-exotiques-1393968","","","Dakar, Sénégal",""
"1739019244-19","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Perruches","https://sn.coinafrique.com/annonce/autres-animaux/perruches-1395598","","","Dakar, Sénégal",""
"1739019247-20","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Perruches","https://sn.coinafrique.com/annonce/autres-animaux/perruches-1395711","","","Dakar, Sénégal",""
"1739019250-21","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Oies de guinée","https://sn.coinafrique.com/annonce/autres-animaux/oies-de-guinee-1417652","","","Thies, Sénégal",""
"1739019253-22","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Cheval","https://sn.coinafrique.com/annonce/autres-animaux/cheval-1421196","","","Fatick, Sénégal",""
"1739019256-23","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Cheval","https://sn.coinafrique.com/annonce/autres-animaux/cheval-1421206","","","Fatick, Sénégal",""
"1739019259-24","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Oies toulouse","https://sn.coinafrique.com/annonce/autres-animaux/oies-toulouse-1428089","","","Fass, Dakar, Sénégal",""
"1739019262-25","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Perruches","https://sn.coinafrique.com/annonce/autres-animaux/perruches-1441558","","","Dakar, Sénégal",""
"1739019264-26","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Perruches","https://sn.coinafrique.com/annonce/autres-animaux/perruches-1453830","Perroquet perruches ondulées","20 000 CFA","Point E, Dakar, Sénégal",""
"1739019267-27","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Perruches","https://sn.coinafrique.com/annonce/autres-animaux/perruches-1453837","Perroquet perruches ondulées","20 000 CFA","Point E, Dakar, Sénégal",""
"1739019270-28","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Biscuit en poudre pour betail","https://sn.coinafrique.com/annonce/autres-animaux/biscuit-en-poudre-pour-betail-1459836","","","Patte d'oie, Dakar, Sénégal",""
"1739019273-29","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Dindes - canards et colverts","https://sn.coinafrique.com/annonce/autres-animaux/dindes-canards-et-colverts-1490889","","","Dakar, Sénégal",""
"1739019276-30","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Bœuf","https://sn.coinafrique.com/annonce/autres-animaux/buf-1495773","","","",""
"1739019279-31","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Vaches","https://sn.coinafrique.com/annonce/autres-animaux/vaches-1500655","","","Rufisque, Sénégal",""
"1739019281-32","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Couple de chèvre","https://sn.coinafrique.com/annonce/autres-animaux/couple-de-chevre-1521675","","","Dakar, Sénégal",""
"1739019284-33","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Boeufs","https://sn.coinafrique.com/annonce/autres-animaux/boeufs-1544433","","","Tambacounda, Sénégal",""
"1739019287-34","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Bœuf","https://sn.coinafrique.com/annonce/autres-animaux/buf-1606230","","","",""
"1739019290-35","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Chat siamois","https://sn.coinafrique.com/annonce/autres-animaux/chat-siamois-1825906","","","Dakar, Sénégal",""
"1739019293-36","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Dindon rouge","https://sn.coinafrique.com/annonce/autres-animaux/dindon-rouge-1890125","","","Mermoz-Sacré-Cœur, Dakar, Sénégal",""
"1739019295-37","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Chat Siamois","https://sn.coinafrique.com/annonce/autres-animaux/chat-siamois-1899735","","","Fann, Dakar, Sénégal",""
"1739019298-38","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Perruches","https://sn.coinafrique.com/annonce/autres-animaux/perruches-1934309","Perroquet perruches ondulées","20 000 CFA","Fann, Dakar, Sénégal",""
