web-scraper-order,web-scraper-start-url,Chien_links_description,Chien_links_description-href,Race,Age,Adresse,Price,Nom,Lien_image
"1738973761-1","https://sn.coinafrique.com/categorie/chiens?page=10","Pitt Bull red nose femelle","https://sn.coinafrique.com/annonce/chiens/pitt-bull-red-nose-femelle-742530","Pitt Bull red nose femelle","5 années","Dakar, Sénégal","Prix sur demande","Pitt Bull red nose femelle","Prix sur demande"
"1738973764-2","https://sn.coinafrique.com/categorie/chiens?page=10","Chiots Pitbull","https://sn.coinafrique.com/annonce/chiens/chiots-pitbull-742716","Chiots Pitbull","5 années","Grand Yoff, Dakar, Sénégal","250 000 CFA","Chiots Pitbull","250 000 CFA"
"1738973767-3","https://sn.coinafrique.com/categorie/chiens?page=10","Caniche bichon","https://sn.coinafrique.com/annonce/chiens/caniche-bichon-751558","Caniche bichon","5 années","Mermoz-Sacré Coeur, Dakar, Sénégal","200 000 CFA","Caniche bichon","200 000 CFA"
"1738973770-4","https://sn.coinafrique.com/categorie/chiens?page=10","Chiot Boerboel","https://sn.coinafrique.com/annonce/chiens/chiot-boerboel-751964","Chiot Boerboel","5 années","Mermoz-Sacré Coeur, Dakar, Sénégal","450 000 CFA","Chiot Boerboel","450 000 CFA"
"1738973773-5","https://sn.coinafrique.com/categorie/chiens?page=10","Pitbull Red Nose","https://sn.coinafrique.com/annonce/chiens/pitbull-red-nose-778978","Pitbull Red Nose","5 années","Mermoz-Sacré Coeur, Dakar, Sénégal","220 000 CFA","Pitbull Red Nose","220 000 CFA"
"1738973775-6","https://sn.coinafrique.com/categorie/chiens?page=10","Caniche bichons maltais","https://sn.coinafrique.com/annonce/chiens/caniche-bichons-maltais-788455","Caniche bichons maltais","5 années","Mermoz-Sacré Coeur, Dakar, Sénégal","190 000 CFA","Caniche bichons maltais","190 000 CFA"
"1738973778-7","https://sn.coinafrique.com/categorie/chiens?page=10","Chien berger allemand à poil long","https://sn.coinafrique.com/annonce/chiens/chien-berger-allemand-a-poil-long-848994","Chien berger allemand à poil long","5 années","Hann Bel-Air, Dakar, Sénégal","200 000 CFA","Chien berger allemand à poil long","200 000 CFA"
"1738973781-8","https://sn.coinafrique.com/categorie/chiens?page=10","Chiots Cane Corso","https://sn.coinafrique.com/annonce/chiens/chiots-cane-corso-891450","Chiots Cane Corso","5 années","Dakar, Sénégal","Prix sur demande","Chiots Cane Corso","Prix sur demande"
"1738973784-9","https://sn.coinafrique.com/categorie/chiens?page=10","Pitbull black nose","https://sn.coinafrique.com/annonce/chiens/pitbull-black-nose-900600","Pitbull black nose","5 années","Mermoz-Sacré Coeur, Dakar, Sénégal","250 000 CFA","Pitbull black nose","250 000 CFA"
"1738973787-10","https://sn.coinafrique.com/categorie/chiens?page=10","Chiot Cane Corso","https://sn.coinafrique.com/annonce/chiens/chiot-cane-corso-956906","Chiot Cane Corso","5 années","Fann, Dakar, Sénégal","800 000 CFA","Chiot Cane Corso","800 000 CFA"
"1738973790-11","https://sn.coinafrique.com/categorie/chiens?page=10","Boerboel femelle","https://sn.coinafrique.com/annonce/chiens/boerboel-femelle-989796","Boerboel femelle","5 années","Mermoz-Sacré Coeur, Dakar, Sénégal","400 000 CFA","Boerboel femelle","400 000 CFA"
"1738973792-12","https://sn.coinafrique.com/categorie/chiens?page=10","Chiots","https://sn.coinafrique.com/annonce/chiens/chiots-1000525","Chiots","5 années","Les Parcelles Assainies, Dakar, Sénégal","350 000 CFA","Chiots","350 000 CFA"
"1738973795-13","https://sn.coinafrique.com/categorie/chiens?page=10","Chiot akita américain","https://sn.coinafrique.com/annonce/chiens/chiot-akita-americain-1106542","Chiot akita américain","5 années","Fann, Dakar, Sénégal","Prix sur demande","Chiot akita américain","Prix sur demande"
"1738973798-14","https://sn.coinafrique.com/categorie/chiens?page=10","Chiot berger allemand","https://sn.coinafrique.com/annonce/chiens/chiot-berger-allemand-1115802","Chiot berger allemand","5 années","Patte d'oie, Dakar, Sénégal","200 000 CFA","Chiot berger allemand","200 000 CFA"
"1738973801-15","https://sn.coinafrique.com/categorie/chiens?page=10","Chien Rottweiler","https://sn.coinafrique.com/annonce/chiens/chien-rottweiler-1122493","Chien Rottweiler","5 années","Dieuppeul-Derklé, Dakar, Sénégal","375 000 CFA","Chien Rottweiler","375 000 CFA"
"1738973803-16","https://sn.coinafrique.com/categorie/chiens?page=10","Chiots Berger Allemand","https://sn.coinafrique.com/annonce/chiens/chiots-berger-allemand-1123229","Chiots Berger Allemand","5 années","Parcelle Assainies, Dakar, Sénégal","350 000 CFA","Chiots Berger Allemand","350 000 CFA"
"1738973806-17","https://sn.coinafrique.com/categorie/chiens?page=10","Pitbull","https://sn.coinafrique.com/annonce/chiens/pitbull-1139092","Pitbull","5 années","Dakar Plateau, Dakar, Sénégal","90 000 CFA","Pitbull","90 000 CFA"
"1738973809-18","https://sn.coinafrique.com/categorie/chiens?page=10","Chiots Berger Allemand de race pure","https://sn.coinafrique.com/annonce/chiens/chiots-berger-allemand-de-race-pure-1148739","Chiots Berger Allemand de race pure","5 années","Grand Yoff, Dakar, Sénégal","125 000 CFA","Chiots Berger Allemand de race pure","125 000 CFA"
"1738973812-19","https://sn.coinafrique.com/categorie/chiens?page=10","Berger blanc","https://sn.coinafrique.com/annonce/chiens/berger-blanc-1163882","Berger blanc","5 années","Thies, Sénégal","200 000 CFA","Berger blanc","200 000 CFA"
"1738973814-20","https://sn.coinafrique.com/categorie/chiens?page=10","Bichons malté","https://sn.coinafrique.com/annonce/chiens/bichons-malte-1176190","Bichons malté","5 années","Cambérène, Dakar, Sénégal","180 000 CFA","Bichons malté","180 000 CFA"
"1738973817-21","https://sn.coinafrique.com/categorie/chiens?page=10","Bergers - labrador - pitbull - rottweiler","https://sn.coinafrique.com/annonce/chiens/bergers-labrador-pitbull-rottweiler-1184876","Bergers - labrador - pitbull - rottweiler","5 années","Sicap Liberté, Dakar, Sénégal","Prix sur demande","Bergers - labrador - pitbull - rottweiler","Prix sur demande"
"1738973820-22","https://sn.coinafrique.com/categorie/chiens?page=10","Bichon maltais","https://sn.coinafrique.com/annonce/chiens/bichon-maltais-1208713","Bichon maltais","5 années","Dakar, Sénégal","170 000 CFA","Bichon maltais","170 000 CFA"
"1738973823-23","https://sn.coinafrique.com/categorie/chiens?page=10","Chiots Cane Corso","https://sn.coinafrique.com/annonce/chiens/chiots-cane-corso-1279844","Chiots Cane Corso","5 années","Dakar, Sénégal","500 000 CFA","Chiots Cane Corso","500 000 CFA"
"1738973825-24","https://sn.coinafrique.com/categorie/chiens?page=10","Chien Pitbull","https://sn.coinafrique.com/annonce/chiens/chien-pitbull-1339794","Chien Pitbull","5 années","Dieuppeul-Derklé, Dakar, Sénégal","150 000 CFA","Chien Pitbull","150 000 CFA"
"1738973828-25","https://sn.coinafrique.com/categorie/chiens?page=10","Chiots Shih-Tzu","https://sn.coinafrique.com/annonce/chiens/chiots-shih-tzu-1381280","Chiots Shih-Tzu","5 années","Point E, Dakar, Sénégal","250 000 CFA","Chiots Shih-Tzu","250 000 CFA"
"1738973831-26","https://sn.coinafrique.com/categorie/chiens?page=10","Chiot Berger Allemand","https://sn.coinafrique.com/annonce/chiens/chiot-berger-allemand-1387279","Chiot Berger Allemand","5 années","Parcelle Assainies, Dakar, Sénégal","350 000 CFA","Chiot Berger Allemand","350 000 CFA"
"1738973834-27","https://sn.coinafrique.com/categorie/chiens?page=10","Chiots Dalmatiens","https://sn.coinafrique.com/annonce/chiens/chiots-dalmatiens-1396092","Chiots Dalmatiens","5 années","Fann, Dakar, Sénégal","450 000 CFA","Chiots Dalmatiens","450 000 CFA"
"1738973836-28","https://sn.coinafrique.com/categorie/chiens?page=10","Bebé Lhasa Apso","https://sn.coinafrique.com/annonce/chiens/bebe-lhasa-apso-1426072","Bebé Lhasa Apso","5 années","Mbour, Sénégal","Prix sur demande","Bebé Lhasa Apso","Prix sur demande"
"1738973839-29","https://sn.coinafrique.com/categorie/chiens?page=10","Chiots Chowchow","https://sn.coinafrique.com/annonce/chiens/chiots-chowchow-1444195","Chiots Chowchow","5 années","Fann, Dakar, Sénégal","990 000 CFA","Chiots Chowchow","990 000 CFA"
"1738973842-30","https://sn.coinafrique.com/categorie/chiens?page=10","Spitz nain","https://sn.coinafrique.com/annonce/chiens/spitz-nain-1455313","Spitz nain","5 années","Dakar, Sénégal","Prix sur demande","Spitz nain","Prix sur demande"
"1738973845-31","https://sn.coinafrique.com/categorie/chiens?page=10","Chiots husky sibérien - dog argentin - cane corso","https://sn.coinafrique.com/annonce/chiens/chiots-husky-siberien-dog-argentin-cane-corso-1477206","Chiots husky sibérien - dog argentin - cane corso","5 années","Keur Massar, Sénégal","350 000 CFA","Chiots husky sibérien - dog argentin - cane corso","350 000 CFA"
"1738973848-32","https://sn.coinafrique.com/categorie/chiens?page=10","Caniche","https://sn.coinafrique.com/annonce/chiens/caniche-1502314","Caniche","5 années","Dakar, Sénégal","100 000 CFA","Caniche","100 000 CFA"
"1738973850-33","https://sn.coinafrique.com/categorie/chiens?page=10","Caniches","https://sn.coinafrique.com/annonce/chiens/caniches-1502318","Caniches","5 années","Mermoz-Sacré Coeur, Dakar, Sénégal","100 000 CFA","Caniches","100 000 CFA"
"1738973853-34","https://sn.coinafrique.com/categorie/chiens?page=10","Caniche","https://sn.coinafrique.com/annonce/chiens/caniche-1502366","Caniche","5 années","Dakar, Sénégal","100 000 CFA","Caniche","100 000 CFA"
"1738973856-35","https://sn.coinafrique.com/categorie/chiens?page=10","Chiots akita américain","https://sn.coinafrique.com/annonce/chiens/chiots-akita-americain-1536386","Chiots akita américain","5 années","Fann, Dakar, Sénégal","990 000 CFA","Chiots akita américain","990 000 CFA"
"1738973859-36","https://sn.coinafrique.com/categorie/chiens?page=10","Chiots Hight quality husky Sibérien","https://sn.coinafrique.com/annonce/chiens/chiots-hight-quality-husky-siberien-1568103","Chiots Hight quality husky Sibérien","5 années","Fann, Dakar, Sénégal","Prix sur demande","Chiots Hight quality husky Sibérien","Prix sur demande"
"1738973861-37","https://sn.coinafrique.com/categorie/chiens?page=10","Chiot Spitz nain","https://sn.coinafrique.com/annonce/chiens/chiot-spitz-nain-1571895","Chiot Spitz nain","5 années","Fann, Dakar, Sénégal","Prix sur demande","Chiot Spitz nain","Prix sur demande"
"1738973864-38","https://sn.coinafrique.com/categorie/chiens?page=10","Spitz pomperanian nain","https://sn.coinafrique.com/annonce/chiens/spitz-pomperanian-nain-1592536","Spitz pomperanian nain","5 années","Fann, Dakar, Sénégal","Prix sur demande","Spitz pomperanian nain","Prix sur demande"
"1738973867-39","https://sn.coinafrique.com/categorie/chiens?page=10","Doberman lignée européenne","https://sn.coinafrique.com/annonce/chiens/doberman-lignee-europeenne-1592645","Doberman lignée européenne","5 années","Fann, Dakar, Sénégal","Prix sur demande","Doberman lignée européenne","Prix sur demande"
"1738973870-40","https://sn.coinafrique.com/categorie/chiens?page=10","Pékinois","https://sn.coinafrique.com/annonce/chiens/pekinois-1592664","Pékinois","5 années","Fann, Dakar, Sénégal","Prix sur demande","Pékinois","Prix sur demande"
"1738973872-41","https://sn.coinafrique.com/categorie/chiens?page=10","Doberman","https://sn.coinafrique.com/annonce/chiens/doberman-1621541","Doberman","5 années","Dakar, Sénégal","400 000 CFA","Doberman","400 000 CFA"
"1738973875-42","https://sn.coinafrique.com/categorie/chiens?page=10","Chiot berger belge malinois","https://sn.coinafrique.com/annonce/chiens/chiot-berger-belge-malinois-1628361","Chiot berger belge malinois","4 années","Pikine, Sénégal","175 000 CFA","Chiot berger belge malinois","175 000 CFA"
"1738973878-43","https://sn.coinafrique.com/categorie/chiens?page=10","Cani corso","https://sn.coinafrique.com/annonce/chiens/cani-corso-1716117","Cani corso","4 années","Dakar, Sénégal","600 000 CFA","Cani corso","600 000 CFA"
"1738973881-44","https://sn.coinafrique.com/categorie/chiens?page=10","Chien Bichon","https://sn.coinafrique.com/annonce/chiens/chien-bichon-1733519","Chien Bichon","4 années","Ouakam, Dakar, Sénégal","Prix sur demande","Chien Bichon","Prix sur demande"
"1738973883-45","https://sn.coinafrique.com/categorie/chiens?page=10","Doberman pure souche","https://sn.coinafrique.com/annonce/chiens/doberman-pure-souche-1803179","Doberman pure souche","4 années","Yoff, Dakar, Sénégal","350 000 CFA","Doberman pure souche","350 000 CFA"
"1738973889-46","https://sn.coinafrique.com/categorie/chiens?page=9","Chien Dogue Allemand","https://sn.coinafrique.com/annonce/chiens/chien-dogue-allemand-1840570","Chien Dogue Allemand","4 années","Yoff, Dakar, Sénégal","Prix sur demande","Chien Dogue Allemand","Prix sur demande"
"1738973892-47","https://sn.coinafrique.com/categorie/chiens?page=9","Caniches","https://sn.coinafrique.com/annonce/chiens/caniches-1840583","Caniches","4 années","Dakar, Sénégal","Prix sur demande","Caniches","Prix sur demande"
"1738973895-48","https://sn.coinafrique.com/categorie/chiens?page=9","Chiots Spitz nain pomeranian","https://sn.coinafrique.com/annonce/chiens/chiots-spitz-nain-pomeranian-1862107","Chiots Spitz nain pomeranian","4 années","Fann, Dakar, Sénégal","Prix sur demande","Chiots Spitz nain pomeranian","Prix sur demande"
"1738973898-49","https://sn.coinafrique.com/categorie/chiens?page=9","Chiots Shiba inu","https://sn.coinafrique.com/annonce/chiens/chiots-shiba-inu-1862112","Chiots Shiba inu","4 années","Fann, Dakar, Sénégal","Prix sur demande","Chiots Shiba inu","Prix sur demande"
"1738973901-50","https://sn.coinafrique.com/categorie/chiens?page=9","Chiots pékinois pure race","https://sn.coinafrique.com/annonce/chiens/chiots-pekinois-pure-race-1862142","Chiots pékinois pure race","4 années","Fann, Dakar, Sénégal","Prix sur demande","Chiots pékinois pure race","Prix sur demande"
"1738973903-51","https://sn.coinafrique.com/categorie/chiens?page=9","Chiots Dogue allemand","https://sn.coinafrique.com/annonce/chiens/chiots-dogue-allemand-1862148","Chiots Dogue allemand","4 années","Fann, Dakar, Sénégal","Prix sur demande","Chiots Dogue allemand","Prix sur demande"
"1738973906-52","https://sn.coinafrique.com/categorie/chiens?page=9","Femelle dogue de Bordeaux","https://sn.coinafrique.com/annonce/chiens/femelle-dogue-de-bordeaux-1862155","Femelle dogue de Bordeaux","4 années","Fann, Dakar, Sénégal","Prix sur demande","Femelle dogue de Bordeaux","Prix sur demande"
"1738973909-53","https://sn.coinafrique.com/categorie/chiens?page=9","Bulldog anglais","https://sn.coinafrique.com/annonce/chiens/bulldog-anglais-1862159","Bulldog anglais","4 années","Fann, Dakar, Sénégal","Prix sur demande","Bulldog anglais","Prix sur demande"
"1738973912-54","https://sn.coinafrique.com/categorie/chiens?page=9","Labrador","https://sn.coinafrique.com/annonce/chiens/labrador-1869479","Labrador","4 années","Yoff, Dakar, Sénégal","200 000 CFA","Labrador","200 000 CFA"
"1738973914-55","https://sn.coinafrique.com/categorie/chiens?page=9","Métisse chiots rottweiler","https://sn.coinafrique.com/annonce/chiens/metisse-chiots-rottweiler-1890049","Métisse chiots rottweiler","4 années","Mermoz-Sacré-Cœur, Dakar, Sénégal","50 000 CFA","Métisse chiots rottweiler","50 000 CFA"
"1738973917-56","https://sn.coinafrique.com/categorie/chiens?page=9","Chiens Malinois","https://sn.coinafrique.com/annonce/chiens/chiens-malinois-1904735","Chiens Malinois","4 années","Dakar Plateau, Dakar, Sénégal","300 000 CFA","Chiens Malinois","300 000 CFA"
