web-scraper-order,web-scraper-start-url,Mouton_Links,Mouton_Links-href,Nom,Price,Addresse,Lien_image
"1738977481-1","https://sn.coinafrique.com/categorie/moutons?page=10","Mouton","https://sn.coinafrique.com/annonce/moutons/mouton-2476429","Mouton","175 000 CFA","Sicap Liberté, Dakar, Sénégal",""
"1738977483-2","https://sn.coinafrique.com/categorie/moutons?page=10","Mouton","https://sn.coinafrique.com/annonce/moutons/mouton-2476432","Mouton","Prix sur demande","Sicap Liberté, Dakar, Sénégal",""
"1738977486-3","https://sn.coinafrique.com/categorie/moutons?page=10","Mouton","https://sn.coinafrique.com/annonce/moutons/mouton-2476438","Mouton","185 000 CFA","Sicap Liberté, Dakar, Sénégal",""
"1738977489-4","https://sn.coinafrique.com/categorie/moutons?page=10","Mouton","https://sn.coinafrique.com/annonce/moutons/mouton-2476442","Mouton","135 000 CFA","Sicap Liberté, Dakar, Sénégal",""
"1738977492-5","https://sn.coinafrique.com/categorie/moutons?page=10","Mouton","https://sn.coinafrique.com/annonce/moutons/mouton-2476451","Mouton","135 000 CFA","Sicap Liberté, Dakar, Sénégal",""
"1738977494-6","https://sn.coinafrique.com/categorie/moutons?page=10","Mouton","https://sn.coinafrique.com/annonce/moutons/mouton-2478859","Mouton","350 000 CFA","Guediawaye, Dakar, Sénégal",""
"1738977497-7","https://sn.coinafrique.com/categorie/moutons?page=10","Moutons","https://sn.coinafrique.com/annonce/moutons/moutons-2478871","Moutons","325 000 CFA","Guediawaye, Dakar, Sénégal",""
"1738977500-8","https://sn.coinafrique.com/categorie/moutons?page=10","Mouton","https://sn.coinafrique.com/annonce/moutons/mouton-2479050","Mouton","500 000 CFA","Medina, Dakar, Sénégal",""
"1738977503-9","https://sn.coinafrique.com/categorie/moutons?page=10","Moutons","https://sn.coinafrique.com/annonce/moutons/moutons-2479813","Moutons","350 000 CFA","Thies, Sénégal",""
"1738977506-10","https://sn.coinafrique.com/categorie/moutons?page=10","Mouton","https://sn.coinafrique.com/annonce/moutons/mouton-2480059","Mouton","125 000 CFA","Dakar, Sénégal",""
"1738977509-11","https://sn.coinafrique.com/categorie/moutons?page=10","Mouton","https://sn.coinafrique.com/annonce/moutons/mouton-2480280","Mouton","Prix sur demande","Sicap Liberté, Dakar, Sénégal",""
"1738977512-12","https://sn.coinafrique.com/categorie/moutons?page=10","Mouton","https://sn.coinafrique.com/annonce/moutons/mouton-2480284","Mouton","Prix sur demande","Sicap Liberté, Dakar, Sénégal",""
"1738977514-13","https://sn.coinafrique.com/categorie/moutons?page=10","Mouton","https://sn.coinafrique.com/annonce/moutons/mouton-2480286","Mouton","Prix sur demande","Sicap Liberté, Dakar, Sénégal",""
"1738977517-14","https://sn.coinafrique.com/categorie/moutons?page=10","Mouton","https://sn.coinafrique.com/annonce/moutons/mouton-2480332","Mouton","500 000 CFA","Guediawaye, Dakar, Sénégal",""
"1738977520-15","https://sn.coinafrique.com/categorie/moutons?page=10","Mouton","https://sn.coinafrique.com/annonce/moutons/mouton-2482210","Mouton","185 000 CFA","Yoff, Dakar, Sénégal",""
"1738977523-16","https://sn.coinafrique.com/categorie/moutons?page=10","Mouton","https://sn.coinafrique.com/annonce/moutons/mouton-2482245","Mouton","150 000 CFA","Yoff, Dakar, Sénégal",""
"1738977527-17","https://sn.coinafrique.com/categorie/moutons?page=10","Moutons","https://sn.coinafrique.com/annonce/moutons/moutons-2482334","Moutons","135 CFA","Yoff, Dakar, Sénégal",""
